QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20181,03665634,17,0,1,240,D,13,D,1,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665684,29,0,1,230,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665684,30,0,1,330,D,12,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665724,11,0,1,150,D,12,D,1,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665724,12,0,1,330,D,12,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665744,22,0,1,250,D,01,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665744,23,0,1,240,D,02,D,1,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665744,24,0,1,260,D,02,D,1,D,84,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665834,32,0,1,240,D,02,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665834,33,0,1,260,D,02,D,1,D,890,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665894,28,0,1,140,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665894,29,0,1,340,D,02,D,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665894,30,0,1,345,D,02,D,1,D,,H,340,D,460,D,,A,,A,,A,,A,,A,,A,,,A
20181,03665894,30,1,1,340,D,02,D,1,D,27,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665894,30,2,1,460,D,02,D,1,D,38,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665914,11,0,1,260,D,12,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665974,18,0,1,180,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665974,19,0,1,150,D,01,D,1,D,1316,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665984,16,0,1,140,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665984,17,0,1,260,D,01,D,1,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665984,18,0,1,240,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666034,21,0,1,240,D,13,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666044,10,0,1,330,D,12,D,2,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666054,14,0,1,340,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666074,20,0,1,240,D,12,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666114,12,0,1,340,D,12,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666144,11,0,1,150,D,01,D,1,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666204,17,0,1,390,D,02,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
